player,position,number,nat.,url,marketValue
Álvaro García,Left Winger,18,Spain,https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062,5.0
Bebé,Left Winger,14,"['Portugal', 'Cape Verde']",https://www.transfermarkt.com/bebe/profil/spieler/153427,2.0
Adrián Embarba,Right Winger,11,Spain,https://www.transfermarkt.com/adrian-embarba/profil/spieler/288318,4.0
Lass Bangoura,Right Winger,unknown,"['Guinea', 'Spain']",https://www.transfermarkt.com/lass-bangoura/profil/spieler/182963,0.7
Raúl de Tomás,Centre-Forward,unknown,"['Spain', 'Dominican Republic']",https://www.transfermarkt.com/raul-de-tomas/profil/spieler/162038,20.0
Franco Di Santo,Centre-Forward,25,"['Argentina', 'Italy']",https://www.transfermarkt.com/franco-di-santo/profil/spieler/59783,2.0
Álex Alegría,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/alex-alegria/profil/spieler/178187,0.8
Javi Guerra,Centre-Forward,24,Spain,https://www.transfermarkt.com/javi-guerra/profil/spieler/46215,0.2
Sergio Moreno,Centre-Forward,unknown,Spain,https://www.transfermarkt.com/sergio-moreno/profil/spieler/607779,0.1
Rubén Blanco,Goalkeeper,13,Spain,https://www.transfermarkt.com/ruben-blanco/profil/spieler/199321,3.0
Sergio Álvarez,Goalkeeper,1,Spain,https://www.transfermarkt.com/sergio-alvarez/profil/spieler/45912,2.0
Iván Villar,Goalkeeper,26,Spain,https://www.transfermarkt.com/ivan-villar/profil/spieler/297194,0.3
Wesley Hoedt,Centre-Back,12,Netherlands,https://www.transfermarkt.com/wesley-hoedt/profil/spieler/253765,12.0
Néstor Araújo,Centre-Back,4,"['Mexico', 'Spain']",https://www.transfermarkt.com/nestor-araujo/profil/spieler/64134,8.0
David Costas,Centre-Back,3,Spain,https://www.transfermarkt.com/david-costas/profil/spieler/276111,3.0
Júnior Alonso,Centre-Back,25,Paraguay,https://www.transfermarkt.com/junior-alonso/profil/spieler/273000,3.0
Facundo Roncaglia,Centre-Back,24,"['Argentina', 'Italy']",https://www.transfermarkt.com/facundo-roncaglia/profil/spieler/61546,2.5
Gustavo Cabral,Centre-Back,22,"['Argentina', 'Spain']",https://www.transfermarkt.com/gustavo-cabral/profil/spieler/30677,1.5
